Topic,Count,Name,Representation,LLM,Representative_Docs
138,131,138_john deere_bids specs_neb sold_buyer state,"['john deere', 'bids specs', 'neb sold', 'buyer state', '250 cad', 'rear tires', 'ac radio', 'heater ac', 'mfwd tractor', 'auction report']","[""John Deere Auctions\n\n[INST]\nQ:\nI have a topic that contains the following documents:\n- Specs: 4,093 hours, Diesel, Water Cooled Engine, Engine Oil Level Full, 19 Speed Powershift, Power Shift Transmission, 13 Forward Speeds, 4 Reverse Speeds, Independent PTO, 540/Small 1000/Large 1000 PTO, Rear PTO Location, PTO Shield, Rear Fender PTO Control, 4 Auxiliary Hydraulics, Hydraulic Brakes, Rear Duals, Axle Mounted Duals, Front And Rear. Front And Rear Fenders, 10x 100lb Front Weights, Heater, AC, Radio, Buddy Seat (1), Air Suspension Operator Seat. A 2014 John Deere R4045 dry fertilizer applicator from Cozad, Neb., sold for US$109,250 (CAD$137,485) to a buyer from the same state after 233 bids.\n- Specs: 4,093 hours, Diesel, Water Cooled Engine, Engine Oil Level Full, 19 Speed Powershift, Power Shift Transmission, 13 Forward Speeds, 4 Reverse Speeds, Independent PTO, 540/Small 1000/Large 1000 PTO, Rear PTO Location, PTO Shield, Rear Fender PTO Control, 4 Auxiliary Hydraulics, Hydraulic Brakes, Rear Duals, Axle Mounted Duals, Front And Rear. Front And Rear Fenders, 10x 100lb Front Weights, Heater, AC, Radio, Buddy Seat (1), Air Suspension Operator Seat. A 2014 John Deere R4045 dry fertilizer applicator from Cozad, Neb., sold for US$109,250 (CAD$137,485) to a buyer from the same state after 233 bids.\n- A 2009 John Deere 9770 STS combine from Orleans, Neb., sold for US$60,000 (CAD$75,109) to a buyer from Kansas after 100 bids. Specs: 4,217 engine hours, 2,899 separator hours, John Deere 6090, Diesel, Water Cooled Engine, Hydrostatic Transmission, Self-Propelled, 520/85R42 Front Tires, 18.4R26 Rear Tires, Duals, Variable Speed Header Drive, Lateral Header Tilt, Hydraulic Fore/Aft Reel Adjustment, Reverser, Single Point Hookup, Auto Height Control, Electric Concave Adjustment, Rotary Chopper, Straw Spreader, Heater, AC, Radio, Guidance Ready, Auto Track Ready.\n- A 2009 John Deere 9770 STS combine from Orleans, Neb., sold for US$60,000 (CAD$75,109) to a buyer from Kansas after 100 bids. Specs: 4,217 engine hours, 2,899 separator hours, John Deere 6090, Diesel, Water Cooled Engine, Hydrostatic Transmission, Self-Propelled, 520/85R42 Front Tires, 18.4R26 Rear Tires, Duals, Variable Speed Header Drive, Lateral Header Tilt, Hydraulic Fore/Aft Reel Adjustment, Reverser, Single Point Hookup, Auto Height Control, Electric Concave Adjustment, Rotary Chopper, Straw Spreader, Heater, AC, Radio, Guidance Ready, Auto Track Ready.\n\n\nThe topic is described by the following keywords: 'john deere, bids specs, neb sold, buyer state, 250 cad, rear tires, ac radio, heater ac, mfwd tractor, auction report, report farms, com auction, cooled engine, farms com, kan sold, bids farms, water cooled, 500 cad, bigiron auction, buddy seat, diesel water, diesel engine, 750 cad, highest price, 1000 pto, separator hours, large 1000, engine hours, sold highest, rear duals'.\n\nBased on the above information, can you give a short label of the topic of at most 5 words?\nA:\n [/INST]\nJohn Deere Auctions\n\n[INST]\nQ:\nI have a topic that contains the following documents:\n- Specs: 4,093 hours, Diesel, Water Cooled Engine, Engine Oil Level Full, 19 Speed Powershift, Power Shift Transmission, 13 Forward Speeds, 4 Reverse Speeds, Independent PTO, 540/Small 1000/Large 1000 PTO, Rear PTO Location, PTO Shield, Rear Fender PTO Control, 4 Auxiliary Hydraulics, Hydraulic Brakes, Rear Duals, Axle Mounted Duals, Front And Rear. Front And Rear Fenders, 10x 100lb Front Weights, Heater, AC, Radio, Buddy Seat (1), Air Suspension Operator Seat. A 2014 John Deere R4045 dry fertilizer applicator from Cozad, Neb., sold for US$109,250 (CAD$137,485) to a buyer from the same state after 233 bids.\n- Specs: 4,093 hours, Diesel, Water Cooled Engine, Engine Oil Level Full, 19 Speed Powershift, Power Shift Transmission, 13 Forward Speeds, 4 Reverse Speeds, Independent PTO, 540/Small 1000/Large 1000 PTO, Rear PTO Location, PTO Shield, Rear Fender PTO Control, 4 Auxiliary Hydraulics, Hydraulic Brakes, Rear Duals, Axle Mounted Duals, Front And Rear. Front And Rear Fenders, 10x 100lb Front Weights, Heater, AC, Radio, Buddy Seat (1), Air Suspension Operator Seat. A 2014 John Deere R4045 dry fertilizer applicator from Cozad, Neb., sold for US$109,250 (CAD$137,485) to a buyer from the same state after 233 bids.\n- A 2009 John Deere 9770 STS combine from Orleans, Neb., sold for US$60,000 (CAD$75,109) to a buyer from Kansas after 100 bids. Specs: 4,217 engine hours, 2,899 separator hours, John Deere 6090, Diesel, Water Cooled Engine, Hydrostatic Transmission, Self-Propelled, 520/85R42 Front Tires, 18.4R26 Rear Tires, Duals, Variable Speed Header Drive, Lateral Header Tilt, Hydraulic Fore/Aft Reel Adjustment, Reverser, Single Point Hookup, Auto Height Control, Electric Concave Adjustment, Rotary Chopper, Straw Spreader, Heater, AC, Radio, Guidance Ready, Auto Track Ready.\n- A 2009 John Deere 9770 STS combine from Orleans, Neb., sold for US$60,000 (CAD$75,109) to a buyer from Kansas after 100 bids. Specs: 4,217 engine hours, 2,899 separator hours, John Deere 6090, Diesel, Water Cooled Engine, Hydrostatic Transmission, Self-Propelled, 520/85R42 Front Tires, 18.4R26 Rear Tires, Duals, Variable Speed Header Drive, Lateral Header Tilt, Hydraulic Fore/Aft Reel Adjustment, Reverser, Single Point Hookup, Auto Height Control, Electric Concave Adjustment, Rotary Chopper, Straw Spreader, Heater, AC, Radio, Guidance Ready, Auto Track Ready.\n\n\nThe topic is described by the following keywords: 'john deere, bids specs, neb sold, buyer state, 250 cad, rear tires, ac radio, heater ac, mfwd tractor, auction report, report farms, com auction, cooled engine, farms com, kan sold, bids farms, water cooled, 500 cad, bigiron auction, buddy seat, diesel water, diesel engine, 750 cad, highest price, 1000 pto, separator hours, large 1000, engine hours, sold highest, rear duals'.\n\nBased on the above information, can you give a short label of the topic of at most 5 words?\nA:\n [/INST]\nJohn Deere Auctions\n\n[INST]\nQ:\nI have a topic that contains the following documents:\n- Specs: 4,093 hours, Diesel, Water Cooled Engine, Engine Oil Level Full, 19 Speed Powershift, Power Shift Transmission, 13 Forward Speeds, 4 Reverse Speeds, Independent PTO, 540/Small 1000/Large 1000 PTO, Rear PTO Location, PTO Shield, Rear Fender PTO Control, 4 Auxiliary Hydraulics, Hydraulic Brakes, Rear Duals, Axle Mounted Duals, Front And Rear. Front And Rear Fenders, 10x 100lb Front Weights, Heater, AC, Radio, Buddy Seat (1), Air Suspension Operator Seat. A 2014 John Deere R4045 dry fertilizer applicator from Cozad, Neb., sold for US$109,250 (CAD$137,485) to a buyer from the same state after 233 bids.\n- Specs: 4,093 hours, Diesel, Water Cooled Engine, Engine Oil Level Full, 19 Speed Powershift, Power Shift Transmission, 13 Forward Speeds, 4 Reverse Speeds, Independent PTO, 540/Small 1000/Large 1000 PTO, Rear PTO Location, PTO Shield, Rear Fender PTO Control, 4 Auxiliary Hydraulics, Hydraulic Brakes, Rear Duals, Axle Mounted Duals, Front And Rear. Front And Rear Fenders, 10x 100lb Front Weights, Heater, AC, Radio, Buddy Seat (1), Air Suspension Operator Seat. A 2014 John Deere R4045 dry fertilizer applicator from Cozad, Neb., sold for US$109,250 (CAD$137,485) to a buyer from the same state after 233 bids.\n- A 2009 John Deere 9770 STS combine from Orleans, Neb., sold for US$60,000 (CAD$75,109) to a buyer from Kansas after 100 bids. Specs: 4,217 engine hours, 2,899 separator hours, John Deere 6090, Diesel, Water Cooled Engine, Hydrostatic Transmission, Self-Propelled, 520/85R42 Front Tires, 18.4R26 Rear Tires, Duals, Variable Speed Header Drive, Lateral Header Tilt, Hydraulic Fore/Aft Reel Adjustment, Reverser, Single Point Hookup, Auto Height Control, Electric Concave Adjustment, Rotary Chopper, Straw Spreader, Heater, AC, Radio, Guidance Ready, Auto Track Ready.\n- A 20"", '', '', '', '', '', '', '', '', '']","['Specs: 4,093 hours, Diesel, Water Cooled Engine, Engine Oil Level Full, 19 Speed Powershift, Power Shift Transmission, 13 Forward Speeds, 4 Reverse Speeds, Independent PTO, 540/Small 1000/Large 1000 PTO, Rear PTO Location, PTO Shield, Rear Fender PTO Control, 4 Auxiliary Hydraulics, Hydraulic Brakes, Rear Duals, Axle Mounted Duals, Front And Rear. Front And Rear Fenders, 10x 100lb Front Weights, Heater, AC, Radio, Buddy Seat (1), Air Suspension Operator Seat. A 2014 John Deere R4045 dry fertilizer applicator from Cozad, Neb., sold for US$109,250 (CAD$137,485) to a buyer from the same state after 233 bids.', 'A 2009 John Deere 9770 STS combine from Orleans, Neb., sold for US$60,000 (CAD$75,109) to a buyer from Kansas after 100 bids. Specs: 4,217 engine hours, 2,899 separator hours, John Deere 6090, Diesel, Water Cooled Engine, Hydrostatic Transmission, Self-Propelled, 520/85R42 Front Tires, 18.4R26 Rear Tires, Duals, Variable Speed Header Drive, Lateral Header Tilt, Hydraulic Fore/Aft Reel Adjustment, Reverser, Single Point Hookup, Auto Height Control, Electric Concave Adjustment, Rotary Chopper, Straw Spreader, Heater, AC, Radio, Guidance Ready, Auto Track Ready.', 'A 2009 John Deere 9770 STS combine from Orleans, Neb., sold for US$60,000 (CAD$75,109) to a buyer from Kansas after 100 bids. Specs: 4,217 engine hours, 2,899 separator hours, John Deere 6090, Diesel, Water Cooled Engine, Hydrostatic Transmission, Self-Propelled, 520/85R42 Front Tires, 18.4R26 Rear Tires, Duals, Variable Speed Header Drive, Lateral Header Tilt, Hydraulic Fore/Aft Reel Adjustment, Reverser, Single Point Hookup, Auto Height Control, Electric Concave Adjustment, Rotary Chopper, Straw Spreader, Heater, AC, Radio, Guidance Ready, Auto Track Ready.']"
139,131,139_kidney stones_vitamin d3_k1 k2_diet plan,"['kidney stones', 'vitamin d3', 'k1 k2', 'diet plan', 'blood thinners', '25 dihydroxyvitamin', 'provitamin d3', 'vitamin deficiency', 'sources vitamin', 'oxalate stones']","['Kidney Stones and Diet Plan', '', '', '', '', '', '', '', '', '']","[""Obesity is associated with kidney stones. Oxalate Overload Oxalates are anti-nutrients in foods that could form oxalate stones by combining with minerals in the body. You can learn more about oxalates in foods here. Soy is one of those high oxalate foods that's associated with kidney stones. In fact, research confirmed that a high soy diet increases the risk of developing kidney stones. Phthalates Diethylhexyl Phthalate (DEHP/DOP) is a type of phthalate that accumulates in the kidneys and may increase your risk of kidney stones."", 'On waking up Ginger, black pepper and jaggery tea with a handful of soaked nuts (5 almonds, 1 fig, 3-4 raisins) Breakfast Eggs and toast or one panner paratha, one cup tulsi adrak masala chai Mid meal Apple (Sprinkle seed mix on top) Lunch Homemade chicken curry or dal sabzi of choice Roti with ghee Evening Vegetable soup or bone broth soup Dinner Indian seasonal cooked vegetables, grilled chicken, grilled fish, paneer or tofu, brown rice Post dinner Ajwain water Meanwhile, nutritionist and lifestyle educator Karishma Chawla shared a sample diet plan with indianexpress.com that can help with immunity Build immunity with home remedies (Photo: Getty/Thinkstock) Build immunity with home remedies (Photo: Getty/Thinkstock) Non-negotiables for an immunity building diet as per Karishma are: *Diet that helps with blood sugar control *Remove food sensitivities and add foods that help with gut health ( 70-80 per cent of the immune system lives in the gut) *Add foods rich in antioxidants Morning on waking up Lukewarm water + lime Followed by Green veg smoothie (can add a high fiber fruit like apple or orange to naturally sweeten the smoothie instead of sugar) can add a teaspoon of camu camu powder rich in vitamin C (antioxidant) to help with immunity Also on healthy diet plan | Nutritionist recommends this winter diet routine for a healthy body Breakfast A combination of complex carb + protein with good fats work the best for stabilising blood sugar levels Brown rice poha/moong dal chilla with eggs/ protein supplement (vegan or milk protein- subjective to gut tolerance) or Almond bread/jowar bread with eggs or vegetable sandwich or Quinoa upma with eggs Mid morning Can add a high fibre fruit like apple, orange, papaya and a teaspoon of cold pressed coconut oil + pinch black pepper + pinch turmeric powder (made as a paste) Lunch Experiment with cinnamon water or apple cider vinegar in lukewarm water Make sure you have these foods in your diet.', 'On waking up Ginger, black pepper and jaggery tea with a handful of soaked nuts (5 almonds, 1 fig, 3-4 raisins) Breakfast Eggs and toast or one panner paratha, one cup tulsi adrak masala chai Mid meal Apple (Sprinkle seed mix on top) Lunch Homemade chicken curry or dal sabzi of choice Roti with ghee Evening Vegetable soup or bone broth soup Dinner Indian seasonal cooked vegetables, grilled chicken, grilled fish, paneer or tofu, brown rice Post dinner Ajwain water Meanwhile, nutritionist and lifestyle educator Karishma Chawla shared a sample diet plan with indianexpress.com that can help with immunity Build immunity with home remedies (Photo: Getty/Thinkstock) Build immunity with home remedies (Photo: Getty/Thinkstock) Non-negotiables for an immunity building diet as per Karishma are: *Diet that helps with blood sugar control *Remove food sensitivities and add foods that help with gut health ( 70-80 per cent of the immune system lives in the gut) *Add foods rich in antioxidants Morning on waking up Lukewarm water + lime Followed by Green veg smoothie (can add a high fiber fruit like apple or orange to naturally sweeten the smoothie instead of sugar) can add a teaspoon of camu camu powder rich in vitamin C (antioxidant) to help with immunity Also on healthy diet plan | Nutritionist recommends this winter diet routine for a healthy body Breakfast A combination of complex carb + protein with good fats work the best for stabilising blood sugar levels Brown rice poha/moong dal chilla with eggs/ protein supplement (vegan or milk protein- subjective to gut tolerance) or Almond bread/jowar bread with eggs or vegetable sandwich or Quinoa upma with eggs Mid morning Can add a high fibre fruit like apple, orange, papaya and a teaspoon of cold pressed coconut oil + pinch black pepper + pinch turmeric powder (made as a paste) Lunch Experiment with cinnamon water or apple cider vinegar in lukewarm water Make sure you have these foods in your diet.']"
140,130,140_drought assistance_livestock producers_extraordinary costs_assistance program,"['drought assistance', 'livestock producers', 'extraordinary costs', 'assistance program', 'manitoba beef', 'help producers', 'federal provincial', 'cattle bison', 'sheep goats', 'risk management']","['Drought Assistance Programs', '', '', '', '', '', '', '', '', '']","['Within the Federal announcement, it was noted that potato producers would also have access to a suite of other Business Risk Management (BRM) programs to help them manage issues. The Governments of Canada and PEI recently made adjustments to the AgriStability program, which protects producers against large declines in farming income, so that producers who did not enroll for the 2021 program year can sign-up now and still access this important income support. Furthermore, AgriStability interim payments have increased, so that producers can now apply for up to 75 percent of their anticipated payment, up from 50 percent.', 'Producers also have access to a suite of other Business Risk Management (BRM) programs to help them manage issues. The Governments of Canada and PEI recently made adjustments to the AgriStability program, which protects producers against large declines in farming income, so that producers who did not enroll for the 2021 program year can sign-up now and still access this important income support. Furthermore, AgriStability interim payments have increased, so that producers can now apply for up to 75% of their anticipated payment, up from 50%.', 'Winnipeg, Manitoba Agriculture and Agri-Food Canada - The Canada and Manitoba governments continue to support producers impacted by drought by announcing a Herd Management Drought Assistance program under the AgriRecovery framework. The program will help livestock producers offset the costs associated with replacing breeding animals culled due to shortages of winter feed, federal Minister of Agriculture and Agri-Food Minister Marie-Claude Bibeau and Manitoba Agriculture and Resource Development Minister Ralph Eichler announced today. Eligible animals under the Herd Management Drought Assistance program include breeding females of beef cattle, bison, sheep, goats and elk.']"
141,128,141_black gram_green gram_plant growth_cotton cultivation,"['black gram', 'green gram', 'plant growth', 'cotton cultivation', 'used sowing', 'yield chickpea', 'seeds used', 'bean plants', 'seed treatment', 'gram farming']","['Black Gram Farming and Cultivation', '', '', '', '', '', '', '', '', '']","['Seed Selection for Organic Black gram Farming Black gram seeds used in sowing must be from an authorized source. Seeds should be genetically pure and having fine quality. Seeds used for sowing must be vigorous so that we can obtain a good field stand. Seeds should be thoroughly checked for diseased seeds, hard seeds, shrunken, deformed seeds, and immature seeds. Seed Rate and Seed Treatment in Organic Black gram Farming The seed rate mainly depends on the variety of the seed selected. Usually, an average of about 8 to 10 kg per acre is sufficient.', 'Over maturity can result in the shattering of grains. When pods are dried completely then cereal is threshed from the pods by using a machine or manually. Harvested crops should be sufficiently dried and then threshed. Threshing can be done manually or under the feet of bullocks. Commonly Asked Questions about Black gram Farming What are the benefits of a Black gram? Black gram is filled with magnesium, phosphorus, iron, potassium, and calcium. These all minerals strengthen your bone mineral density. Is Black gram a Kharif crop? During the Kharif season, the Black gram is cultivated throughout the country.', 'Plants also need good sunlight and a good drainage system for good growth. Clay or loam soils are suitable for growing Black Gram, but soil pH should be neutral. Step 4: Seed selection is essential for increasing crop yield Black Gram seeds used for sowing should be purchased from an authorized source. Seeds should be naturally pure and of good quality. Seeds used for sowing should be adequate for the good field. Seeds should be thoroughly inspected and free from pests, insects, and diseases. Seed selection plays the most important role in the successful cultivation of Black Gram.']"
142,126,142_heat stress_steel shed_ruminant animals_permanent teeth,"['heat stress', 'steel shed', 'ruminant animals', 'permanent teeth', 'water intake', 'dairy cattle', 'livestock housing', 'old permanent', 'teeth years', 'water requirements']","['Heat stress in dairy cattle.', '', '', '', '', '', '', '', '', '']","[""Farmers can take simple steps to monitor the effects of heat: Check if cows are panting: if they reach more than 60 breaths a minute, it suggests they are suffering from heat stress Observe cow behaviour: are cows standing more or clustering in the shade? To help mitigate heat stress, producers should provide cows with as much access to shade as possible and ample cool water, as water intakes rise markedly during heat stress, says Lallemand's Lientjie Colahan. Nutrition is also worth reviewing, she says."", ""Milk losses can top 200 litres a cow over the summer period without careful management, a study has shown. The six-month study into the effect of heat stress in dairy cattle was carried out by Tom Chamberlain of consultancy firm Chalcombe and Lallemand Animal Nutrition. Cattle were observed across eight outdoor and six indoor farms none of which was equipped with fans or misting systems to evaluate the effect of heat stress in both housed and grazed herds. See also: Cattle heat stress 'more likely' in future UK climate, study finds Temperature and humidity were measured indoors and at pasture."", ""Milk losses can top 200 litres a cow over the summer period without careful management, a study has shown. The six-month study into the effect of heat stress in dairy cattle was carried out by Tom Chamberlain of consultancy firm Chalcombe and Lallemand Animal Nutrition. Cattle were observed across eight outdoor and six indoor farms none of which was equipped with fans or misting systems to evaluate the effect of heat stress in both housed and grazed herds. See also: Cattle heat stress 'more likely' in future UK climate, study finds Temperature and humidity were measured indoors and at pasture.""]"
143,124,143_sauce mixed_pr agencies_agencies note_buy bundles,"['sauce mixed', 'pr agencies', 'agencies note', 'buy bundles', 'note buy', 'use clients', 'bundles credits', 'credits use', 'stir fry', 'clients pr']","['Asian Cuisine', '', '', '', '', '', '', '', '', '']","['""Though there are lots of Asians in Alhambra and South Pasadena, the difference is that, in Hong Kong, customers prefer things with texture, like shellfish and clams,"" says Azumi. Another feature here is the variety of soy sauces they can use: from a lighter seasoning made with dashi, to medium-strength soy sauce mixed with sake and dashi, to their stronger soy sauce, which is mixed with mirin for maximum flavor. The dinner starts with appetizers, a gently cooked abalone served on an ornate filigree plate with white flowers. The small portion looks substantial against the beautiful saucer-sized dish.', '""Though there are lots of Asians in Alhambra and South Pasadena, the difference is that, in Hong Kong, customers prefer things with texture, like shellfish and clams,"" says Azumi. Another feature here is the variety of soy sauces they can use: from a lighter seasoning made with dashi, to medium-strength soy sauce mixed with sake and dashi, to their stronger soy sauce, which is mixed with mirin for maximum flavor. The dinner starts with appetizers, a gently cooked abalone served on an ornate filigree plate with white flowers. The small portion looks substantial against the beautiful saucer-sized dish.', '""Though there are lots of Asians in Alhambra and South Pasadena, the difference is that, in Hong Kong, customers prefer things with texture, like shellfish and clams,"" says Azumi. Another feature here is the variety of soy sauces they can use: from a lighter seasoning made with dashi, to medium-strength soy sauce mixed with sake and dashi, to their stronger soy sauce, which is mixed with mirin for maximum flavor. The dinner starts with appetizers, a gently cooked abalone served on an ornate filigree plate with white flowers. The small portion looks substantial against the beautiful saucer-sized dish.']"
144,124,144_rat snakes_water snakes_water snake_ms macdonald,"['rat snakes', 'water snakes', 'water snake', 'ms macdonald', 'post mortem', 'sea snakes', 'bovine tb', 'rat snake', 'mortem examination', 'blood test']","['Water Snakes, Alpaca, Bovine TB, Blood Test, Geronimo', '', '', '', '', '', '', '', '', '']","['""We would expect to complete the full post-mortem and culture process by the end of the year."" Four-year campaign Geronimo was imported from New Zealand into the UK in 2017 and following his arrival, he twice tested positive for bovine TB and had been kept in isolation ever since. Ms Macdonald insisted that the results were ""false positives"" because Geronimo had been ""primed"" with bovine tuberculin before being tested, which Defra says can improve the sensitivity of the blood test. She had led a four-year campaign to keep the alpaca alive.', '""We would expect to complete the full post-mortem and culture process by the end of the year."" Four-year campaign Geronimo was imported from New Zealand into the UK in 2017 and following his arrival, he twice tested positive for bovine TB and had been kept in isolation ever since. Ms Macdonald insisted that the results were ""false positives"" because Geronimo had been ""primed"" with bovine tuberculin before being tested, which Defra says can improve the sensitivity of the blood test. She had led a four-year campaign to keep the alpaca alive.', ""Geronimo the alpaca will be euthanised after a last-ditch attempt to save the animal was rejected by London's High Court. A judge has rejected owner Helen Macdonald's application for an injunction to stop the destruction order. Her eight-year-old alpaca, imported from New Zealand, had twice tested positive for bovine TB using the Enferplex blood test, meaning he has to be euthanised under government guidelines. According to Defra figures, 28,356 animals - the vast majority cattle - were slaughtered due to a bTB incident in England in the 12 months to March 2021, while 205 camelids were culled in 2020.""]"
145,122,145_britain fittest_fittest farmer_tom kemp_physical mental,"['britain fittest', 'fittest farmer', 'tom kemp', 'physical mental', 'james arney', 'mental health', 'farm fitness', 'erica robison', 'farmer 2022', 'farmer 2021']","[""Britain's Fittest Farmer"", '', '', '', '', '', '', '', '', '']","['""I\'ll need to \'take\' him into the ring with me again then."" Britain\'s Fittest Farmer 2022: How to enter There are three categories to choose from: Men under 40, women under 40 and a new mixed over 40s category Upload an image or video of you staying physically fit on farm to fwi.co.uk/britains-fittest-farmer, where you\'ll also find all the competition information, including key dates and terms and conditions Tell us a bit about how you champion mental wellbeing in your life Make sure you leave your contact details so we can get in touch Women\'s boxing is popular at the Thai boxing gym in Carlisle where Erica works.', ""Sally Steadman of the Farming Community Network (FCN) is one of our Britain's Fittest Farmer judges for the 2022 competition. We talk to her about how she first came to volunteer for the charity, why depression is such a problem in the farming community, and how she keeps herself mentally fit. See also: 9 ways farmers can improve their mental and physical health About Britain's Fittest Farmer Now in its fourth year, Britain's Fittest Farmer is a fun competition organised by Farmers Weekly to get farmers thinking and talking about their physical and mental health."", ""Sally Steadman of the Farming Community Network (FCN) is one of our Britain's Fittest Farmer judges for the 2022 competition. We talk to her about how she first came to volunteer for the charity, why depression is such a problem in the farming community, and how she keeps herself mentally fit. See also: 9 ways farmers can improve their mental and physical health About Britain's Fittest Farmer Now in its fourth year, Britain's Fittest Farmer is a fun competition organised by Farmers Weekly to get farmers thinking and talking about their physical and mental health.""]"
146,121,146_tree species_scary exercise_produce output_regenerative project,"['tree species', 'scary exercise', 'produce output', 'regenerative project', 'methane slurry', 'liang said', 'number tree', 'land use', 'use climate', 'certainly increase']","['Phosphate Application, Budgeting, Conservation Strategies, Species Vulnerability, Land Conversion', '', '', '', '', '', '', '', '', '']","['Phosphate is mostly applied via muck in rotation here, though we will place some (staggeringly expensive) diammonium phosphate under the potatoes. Scary exercise Budgeting and planning have been a scary exercise this year, particularly in terms of the working capital required to see potatoes round to the point when we start to get paid for them (Christmas, roughly). Some careful sums and thoughts are also going into calculating whether we can afford or justify the 60% top-up required for the various items that we have been lucky enough to secure grant aid for. Decision time is upon us shortly.', 'A diverse abundance of species underpins essential ecosystem functions from pest regulation to carbon storage. Species\' vulnerability to extinction is strongly impacted by their geographical range size, and devising effective conservation strategies requires a better understanding of how ranges have changed in the past, and how they will change under alternative future scenarios. ""The habitat size of almost all known birds, mammals and amphibians is shrinking, primarily because of land conversion by humans as we continue to expand our agricultural and urban areas,"" said Dr Robert Beyer in the University of Cambridge\'s Department of Zoology, first author of the report.', 'A diverse abundance of species underpins essential ecosystem functions from pest regulation to carbon storage. Species\' vulnerability to extinction is strongly impacted by their geographical range size, and devising effective conservation strategies requires a better understanding of how ranges have changed in the past, and how they will change under alternative future scenarios. ""The habitat size of almost all known birds, mammals and amphibians is shrinking, primarily because of land conversion by humans as we continue to expand our agricultural and urban areas,"" said Dr Robert Beyer in the University of Cambridge\'s Department of Zoology, first author of the report.']"
147,121,147_blood pressure_high blood_dragon fruit_drink water,"['blood pressure', 'high blood', 'dragon fruit', 'drink water', 'heart attack', 'spoke brooke', 'onand ensure', 'old torn', 'practically poofs', 'stand problem']","['High Blood Pressure Management\n<</CUTOFF>>', '', '', '', '', '', '', '', '', '']","['Health spoke with Brooke Nicole a Nutrition Consultant with a Master\'s degree in Public Health who explained simple ways to manage your blood pressure. That said, please always consult with your doctor for medical advice. Read onand to ensure your health and the health of others, don\'t miss these Sure Signs You\'ve Already Had COVID. 1 High Blood Pressure is a Silent Killer Nicole says, ""High blood pressure is a problem because it is not a stand alone problem.', 'Health spoke with Brooke Nicole a Nutrition Consultant with a Master\'s degree in Public Health who explained simple ways to manage your blood pressure. That said, please always consult with your doctor for medical advice. Read onand to ensure your health and the health of others, don\'t miss these Sure Signs You\'ve Already Had COVID. 1 High Blood Pressure is a Silent Killer Nicole says, ""High blood pressure is a problem because it is not a stand alone problem.', 'Health spoke with Brooke Nicole a Nutrition Consultant with a Master\'s degree in Public Health who explained simple ways to manage your blood pressure. That said, please always consult with your doctor for medical advice. Read onand to ensure your health and the health of others, don\'t miss these Sure Signs You\'ve Already Had COVID. 1 High Blood Pressure is a Silent Killer Nicole says, ""High blood pressure is a problem because it is not a stand alone problem.']"
148,121,148_et al_calorie restriction_aging cell_life span,"['et al', 'calorie restriction', 'aging cell', 'life span', 'commission water', 'drive coach', 'middle eu', 'pledges cop26', 'unsustainable illegal', 'quantities unsustainable']","['Mass Balance Systems', '', '', '', '', '', '', '', '', '']","['""For example, mass balance systems allow the mixing of goods that meet legal sustainability criteria with those that do not,"" she said. ""They would drive a coach and horses through the middle of the EU\'s due diligence proposal through which vast quantities of unsustainable and illegal goods could follow."" The Green MEP Anna Cavazzini told the Guardian: ""It is very disappointing that some of the same companies who made pledges at Cop26 to act against deforestation are [asking] the European Commission to water down the legislative ambitions in this area.', '""For example, mass balance systems allow the mixing of goods that meet legal sustainability criteria with those that do not,"" she said. ""They would drive a coach and horses through the middle of the EU\'s due diligence proposal through which vast quantities of unsustainable and illegal goods could follow."" The Green MEP Anna Cavazzini told the Guardian: ""It is very disappointing that some of the same companies who made pledges at Cop26 to act against deforestation are [asking] the European Commission to water down the legislative ambitions in this area.', '""For example, mass balance systems allow the mixing of goods that meet legal sustainability criteria with those that do not,"" she said. ""They would drive a coach and horses through the middle of the EU\'s due diligence proposal through which vast quantities of unsustainable and illegal goods could follow."" The Green MEP Anna Cavazzini told the Guardian: ""It is very disappointing that some of the same companies who made pledges at Cop26 to act against deforestation are [asking] the European Commission to water down the legislative ambitions in this area.']"
